#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.004457,3,1,0,1730
0.000734,4,1,0,2214
0.091386,5,1,0,2620
0.125887,6,1,0,2999
0.243739,7,1,0,3443
0.351896,8,1,0,3774
0.256162,9,1,0,4016
0.664280,10,1,0,4272
0.381466,9,2,0,4533
0.452883,9,3,0,4608
0.470709,10,3,0,4989
0.440640,8,6,0,3968
0.618545,9,6,0,4350
0.650926,9,7,0,4365
0.789451,10,7,0,4776
0.793483,10,8,0,4732
0.781995,12,7,0,5475
0.726041,12,8,0,5864
1.069691,12,9,0,6243
0.957817,14,8,0,7148
1.047603,14,9,0,7521
0.950700,15,9,0,8274
1.199525,15,10,0,8580
0.951644,15,11,0,9011
1.165821,10,17,0,7241
1.111187,3,19,0,3897
1.136355,4,19,0,4388
0.323361,5,19,0,4797
0.380122,5,18,0,3379
0.553050,6,18,0,3855
0.336330,7,18,0,4311
0.580188,8,18,0,4772
0.511748,9,18,0,5104
0.652057,10,18,0,5497
0.417771,11,18,0,6003
0.755173,11,3,0,5816
0.623581,12,3,0,6222
0.703223,13,3,0,6513
0.685465,13,4,0,6786
0.755676,10,7,0,6377
0.714568,9,8,0,5280
0.814461,7,11,0,3999
0.847367,8,11,0,4264
0.958024,8,12,0,4079
0.978250,8,13,0,4033
1.094902,7,15,0,3650
1.745494,7,16,0,3590
0.985447,8,16,0,3883
1.241019,9,16,0,4166
0.682796,10,16,0,4597
0.455433,11,16,0,5085
0.526068,12,16,0,5525
0.688047,13,16,0,6119
0.886167,13,17,0,6295
0.728483,15,16,0,7093
0.853885,16,16,0,7549
0.924120,15,18,0,7364
0.981593,15,19,0,7245
1.074168,16,19,0,7648
0.930670,17,19,0,8224
1.033908,16,20,0,8068
0.997184,15,13,0,7907
0.956498,11,17,0,7241
1.070797,8,19,0,5204
1.287757,8,20,0,5224
1.282169,9,20,0,5540
1.318835,9,21,0,5578
0.979594,9,22,0,5630
1.712297,9,21,0,5340
0.690908,11,22,0,6145
0.929335,9,21,0,4650
0.964823,10,21,0,5141
1.239820,11,21,0,5546
1.403130,10,21,0,4936
1.048913,11,21,0,5192
0.940005,12,21,0,5549
1.191477,10,16,0,5236
1.216529,13,22,0,6582
1.487062,13,20,0,6789
1.316632,13,18,0,7016
1.315647,14,18,0,7579
1.113790,11,22,0,7021
1.445696,11,21,0,6971
1.277956,12,21,0,7140
1.275752,13,21,0,7331
1.395807,14,21,0,7680
1.373333,15,21,0,8014
1.753169,17,22,0,8814
1.359553,17,30,0,9123
1.907988,18,30,0,9633
1.167285,20,30,0,10419
1.881963,20,30,0,10544
1.020978,21,30,0,11310
1.232200,22,30,0,12074
2.123062,23,30,0,12772
1.176236,23,31,0,13396
0.932638,17,38,0,10488
1.090429,17,36,0,8672
0.000000,18,36,0,9610
1.783263,20,35,0,12640
1.051986,20,36,0,10885
2.080746,20,37,0,11388
2.497282,19,39,0,11664
1.268315,20,39,0,12297
1.164175,21,39,0,12765
1.092556,20,41,0,13039
1.196989,20,36,0,12948
1.051778,19,28,0,12763
1.878375,20,28,0,13090
1.318614,20,32,0,13198
1.905489,19,34,0,13310
1.430454,19,38,0,13280
2.013987,21,37,0,13874
1.396149,21,38,0,13869
2.590529,22,36,0,11439
5.384320,21,38,0,11231
2.240083,22,38,0,11531
3.861162,26,35,0,12793
2.400865,25,37,0,12792
1.131344,27,36,0,13649
1.891394,29,35,0,14457
3.797704,28,37,0,14359
1.960156,29,37,0,14831
0.870235,27,40,0,14787
2.087937,21,46,0,12341
1.274712,21,47,0,12683
2.811791,22,47,0,13768
1.326399,19,51,0,10477
1.836370,24,47,0,13845
1.308210,22,50,0,11584
1.278055,22,51,0,11830
3.113933,22,52,0,11134
0.882769,24,51,0,12534
1.617418,22,52,0,11399
1.615782,24,53,0,12212
2.382468,23,53,0,12425
2.198805,23,54,0,12691
3.164699,23,55,0,12853
2.636193,22,49,0,12218
2.775900,23,49,0,12679
1.766997,24,49,0,13152
1.432626,25,51,0,13540
1.542316,24,53,0,13404
1.236165,21,57,0,12051
2.268300,25,54,0,13734
1.524960,25,55,0,14464
1.299072,24,57,0,13891
2.290351,22,60,0,12583
2.055944,21,62,0,12758
1.021073,21,62,0,11940
1.645498,19,65,0,11011
1.572443,18,67,0,10695
1.413612,20,66,0,11420
1.205156,18,69,0,10198
1.821545,17,71,0,9813
1.743258,21,68,0,12274
2.104409,21,69,0,11659
1.685892,21,70,0,11861
2.147684,21,71,0,12287
1.551636,21,72,0,12697
1.570343,22,72,0,13425
1.724002,21,72,0,13573
1.546659,22,65,0,11625
1.644721,20,68,0,11569
1.688027,20,69,0,11550
0.838032,21,69,0,12180
1.889787,22,69,0,12842
1.839631,23,69,0,13372
1.870524,22,70,0,13454
1.014160,22,68,0,13661
1.086728,23,68,0,14321
1.050873,22,66,0,14260
4.293488,24,65,0,15457
2.003849,24,66,0,15494
1.634423,25,66,0,16045
1.008442,26,66,0,16488
3.060141,26,67,0,16693
1.890152,27,67,0,17206
2.061460,26,64,0,16918
3.165734,26,65,0,17311
2.395589,26,66,0,17527
2.619973,28,65,0,18422
2.954880,27,67,0,18330
1.891953,20,60,0,16463
1.744345,17,63,0,14676
1.463474,17,53,0,13238
2.198731,18,53,0,13722
1.253440,17,53,0,13122
3.369949,17,54,0,13236
1.225489,18,54,0,14202
3.255006,19,54,0,15054
2.362603,20,54,0,15854
4.042535,19,52,0,15052
2.409788,19,53,0,15010
4.321210,19,47,0,15734
3.671251,18,40,0,14743
1.255195,18,41,0,14687
2.334009,15,38,0,12441
1.371819,15,39,0,12165
3.122623,16,39,0,12632
2.338712,16,40,0,12567
2.287488,15,42,0,12945
2.759871,12,39,0,11511
2.263112,1080576050,1073784158,1073784158,1074002542
2.136526,-1031616785,-63496797,-63496797,-1419744389
1.335145,1081642656,1074002542,1074002542,1072974596
