#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
11.304720,0.157931,11.325175,0.179231,0.179231,22.987533
13.178434,0.193764,95.494977,0.005544,0.005544,108.876804
18.529764,1.290799,173.428599,0.349849,0.349849,3107.445189
15.012700,0.812978,228.309359,0.694298,0.694298,3746.804261
12.210727,0.858240,262.818263,1.203817,1.203817,4368.317865
10.433507,0.965333,283.777205,1.293198,1.293198,3550.599154
10.124633,1.204623,330.921397,1.594074,1.594074,3908.083791
9.586749,1.360289,388.238139,1.746490,1.746490,2346.241034
10.825181,1.247304,701.505877,1.841539,1.841539,3428.037544
11.277282,1.542834,402.629081,2.333249,2.333249,3360.866288
11.931999,1.242926,1070.375030,2.388601,2.388601,3284.498803
11.691603,1.043007,1327.920783,2.527604,2.527604,3907.785211
11.688977,1.142621,534.389364,2.665736,2.665736,3624.260642
12.171947,1.194697,581.020423,3.043444,3.043444,4689.573972
13.467657,1.075283,616.843891,3.359956,3.359956,4649.827006
14.772401,1.185942,812.473380,3.602186,3.602186,5253.326373
14.234672,1.031187,820.517606,3.563996,3.563996,3151.183053
14.789613,0.882528,105.798838,0.000000,0.000000,121.473780
15.645708,0.571699,885.754598,4.490059,4.490059,4239.333157
20.208177,0.687662,732.493072,4.758729,4.758729,11062.707936
16.400926,1.054789,3796.010482,5.094988,5.094988,12048.582857
17.063405,0.795877,2763.113933,5.454112,5.454112,11599.111119
11.431122,1.124099,1140.169877,5.757716,5.757716,6345.717775
10.019499,1.077929,451.900975,1.079626,1.079626,4054.062927
17.154291,1.825082,669.081386,1.675982,1.675982,3860.899869
13.089313,1.337963,764.446005,1.738741,1.738741,4685.047792
12.962526,1.081545,966.084492,1.804230,1.804230,5793.883354
11.991942,1.096101,673.619744,2.058909,2.058909,5162.011252
12.600244,1.260420,884.201264,2.168627,2.168627,4248.826544
16.148658,1.327840,874.814858,2.041190,2.041190,6827.760575
14.947521,1.898559,1194.703494,2.672337,2.672337,8435.446702
14.247060,1.522029,1294.331694,3.273482,3.273482,5309.641725
13.644059,1.580826,1720.354896,4.052027,4.052027,5151.334076
12.938704,1.987819,1647.007503,3.227544,3.227544,6300.901526
11.979552,1.851670,1346.392520,3.590028,3.590028,5804.638465
18.128740,2.818322,697.159303,3.403269,3.403269,7405.082677
12.051995,1.810988,749.022990,3.422307,3.422307,6279.940511
12.150603,1.597092,797.166644,4.039369,4.039369,5098.931122
11.436520,1.585595,698.701980,3.612173,3.612173,6259.418356
12.346449,1.867865,578.762549,3.965344,3.965344,7607.379627
11.088880,1.685254,484.737187,3.861054,3.861054,5422.374583
13.516238,1.722047,587.556068,2.967119,2.967119,3783.875552
12.867775,1.703049,821.539466,3.413189,3.413189,2967.630653
14.833733,1.325199,737.901582,3.373942,3.373942,2674.310688
