function_name,duration,high_res_duration
ComputePyramid,1924248,1926081
ComputePyramid,2281570,2281781
DistributeOctTree,1611459,1611589
DistributeOctTree,1541435,1541535
DistributeOctTree,880843,880883
DistributeOctTree,922462,922482
DistributeOctTree,610387,610427
DistributeOctTree,652797,652827
DistributeOctTree,443558,443588
DistributeOctTree,483524,483564
DistributeOctTree,383743,383813
DistributeOctTree,371240,371280
DistributeOctTree,368735,368885
DistributeOctTree,260027,260067
DistributeOctTree,240841,240951
DistributeOctTree,199792,199832
DistributeOctTree,152391,152432
DistributeOctTree,150447,150488
computeOrientation,554670,554711
computeOrientation,569849,569889
computeOrientation,449539,449559
computeOrientation,449499,449530
computeOrientation,381069,381099
computeOrientation,372411,372432
computeOrientation,310313,310323
computeOrientation,308590,308600
computeOrientation,257532,257542
computeOrientation,258454,258484
computeOrientation,216534,216574
computeOrientation,216514,216534
computeOrientation,179593,179613
computeOrientation,147642,147652
ComputeKeyPointsOctTree,12495308,12495339
computeOrientation,179062,179082
computeOrientation,148514,148534
ComputeKeyPointsOctTree,12983903,12983912
GaussianBlur,1513442,1513613
GaussianBlur,1533070,1533130
computeDescriptors,5399578,5399618
GaussianBlur,79351,79401
computeDescriptors,6081311,6081441
GaussianBlur,101153,101203
computeDescriptors,4632112,4632363
GaussianBlur,73681,73711
computeDescriptors,4637112,4637152
GaussianBlur,69001,69042
computeDescriptors,3945600,3945670
GaussianBlur,61818,61838
computeDescriptors,3877300,3877360
GaussianBlur,59042,59093
computeDescriptors,3214923,3214953
GaussianBlur,54595,54625
computeDescriptors,3199805,3199835
GaussianBlur,53051,53091
computeDescriptors,2721220,2721250
GaussianBlur,54455,54484
computeDescriptors,2659572,2659602
GaussianBlur,51538,51568
computeDescriptors,2227396,2227426
GaussianBlur,46268,46298
computeDescriptors,2212147,2212177
GaussianBlur,51138,51168
computeDescriptors,1826711,1826741
GaussianBlur,43302,43332
computeDescriptors,1842491,1842571
GaussianBlur,43884,43914
computeDescriptors,1521198,1521238
computeDescriptors,1532890,1532920
Track,16776149,16776420
GrabImageStereo,69261939,69262039
ComputePyramid,1066308,1066669
ComputePyramid,1414814,1414914
DistributeOctTree,1447246,1447316
DistributeOctTree,1323069,1323149
DistributeOctTree,879831,879911
DistributeOctTree,914457,914507
DistributeOctTree,624854,624894
DistributeOctTree,621397,621437
DistributeOctTree,453947,453988
DistributeOctTree,484316,484356
DistributeOctTree,372422,372492
DistributeOctTree,371841,371871
DistributeOctTree,278072,278112
DistributeOctTree,256510,256550
DistributeOctTree,186376,186416
DistributeOctTree,191826,191856
DistributeOctTree,152131,152171
DistributeOctTree,155417,155438
computeOrientation,594577,594617
computeOrientation,550221,550262
computeOrientation,463776,463826
computeOrientation,459278,459358
computeOrientation,374616,374656
computeOrientation,372241,372281
computeOrientation,310043,310063
computeOrientation,310433,310453
computeOrientation,262883,262893
computeOrientation,255639,255659
computeOrientation,226553,226563
computeOrientation,215222,215242
computeOrientation,176447,176457
computeOrientation,182569,182609
computeOrientation,149646,149666
ComputeKeyPointsOctTree,12128117,12128127
computeOrientation,147482,147502
ComputeKeyPointsOctTree,12634204,12634214
GaussianBlur,200413,200453
GaussianBlur,211764,211815
computeDescriptors,5675466,5675496
computeDescriptors,5607315,5607355
GaussianBlur,88730,88770
GaussianBlur,82568,82598
computeDescriptors,4688088,4688118
computeDescriptors,4626741,4626781
GaussianBlur,66988,67008
GaussianBlur,193660,193680
computeDescriptors,3885195,3885215
computeDescriptors,3783410,3783470
GaussianBlur,66267,66297
GaussianBlur,129577,129617
computeDescriptors,3127778,3127838
computeDescriptors,3296791,3296861
GaussianBlur,56628,56658
GaussianBlur,36560,36600
computeDescriptors,2644653,2644693
computeDescriptors,2662257,2662297
GaussianBlur,51519,51549
GaussianBlur,35268,35278
computeDescriptors,2218679,2218720
GaussianBlur,52370,52410
computeDescriptors,2274386,2274416
GaussianBlur,46478,46508
computeDescriptors,1827862,1827893
GaussianBlur,46268,46298
computeDescriptors,1883068,1883108
GaussianBlur,47400,47420
computeDescriptors,1530465,1530515
computeDescriptors,1530294,1530344
Track,788898488,788898758
GrabImageStereo,837376128,837376138
ComputePyramid,883429,883719
ComputePyramid,1144047,1144207
DistributeOctTree,1409864,1409905
DistributeOctTree,1358807,1358877
DistributeOctTree,925088,925118
DistributeOctTree,883008,883028
DistributeOctTree,631006,631046
DistributeOctTree,638249,638279
DistributeOctTree,487682,487712
DistributeOctTree,488995,489035
DistributeOctTree,366740,366781
DistributeOctTree,374115,374155
DistributeOctTree,249367,249407
DistributeOctTree,258073,258113
DistributeOctTree,186977,187017
DistributeOctTree,200713,200753
DistributeOctTree,149326,149366
DistributeOctTree,155858,155898
computeOrientation,547846,547877
computeOrientation,550442,550472
computeOrientation,454769,454809
computeOrientation,451714,451743
computeOrientation,374315,374355
computeOrientation,373504,373524
computeOrientation,310052,310072
computeOrientation,310483,310503
computeOrientation,257863,257883
computeOrientation,265086,265126
computeOrientation,214680,214690
computeOrientation,213999,214029
computeOrientation,179123,179132
computeOrientation,177449,177479
computeOrientation,150547,150567
ComputeKeyPointsOctTree,12117707,12117747
computeOrientation,148173,148193
ComputeKeyPointsOctTree,12511309,12511339
GaussianBlur,206394,206434
GaussianBlur,219008,219068
computeDescriptors,5557561,5557600
computeDescriptors,5566428,5566478
GaussianBlur,89140,89171
GaussianBlur,82047,82077
computeDescriptors,4608877,4608917
GaussianBlur,66447,66477
computeDescriptors,4621522,4621562
GaussianBlur,68771,68802
computeDescriptors,3931393,3931433
computeDescriptors,3903689,3903749
GaussianBlur,87978,88008
GaussianBlur,76777,76806
computeDescriptors,3220484,3220544
GaussianBlur,56368,56398
computeDescriptors,3173465,3173485
GaussianBlur,51247,51278
computeDescriptors,2625708,2625738
GaussianBlur,53743,53793
computeDescriptors,2620608,2620668
GaussianBlur,41550,41579
computeDescriptors,2187471,2187502
GaussianBlur,47180,47190
computeDescriptors,2188042,2188072
GaussianBlur,44856,44885
computeDescriptors,1811802,1811833
GaussianBlur,44014,44044
computeDescriptors,1837051,1837091
GaussianBlur,41309,41339
computeDescriptors,1567595,1567635
computeDescriptors,1532479,1532519
Track,677265441,677265721
GrabImageStereo,724999339,724999359
ComputePyramid,618272,618372
ComputePyramid,791843,791963
DistributeOctTree,1340972,1341002
DistributeOctTree,1336705,1336755
DistributeOctTree,876064,876135
DistributeOctTree,897084,897134
DistributeOctTree,647267,647327
DistributeOctTree,618632,618662
DistributeOctTree,476471,476511
DistributeOctTree,512179,512269
DistributeOctTree,357182,357223
DistributeOctTree,377781,377822
DistributeOctTree,257402,257462
DistributeOctTree,257171,257211
DistributeOctTree,191927,191957
DistributeOctTree,191285,191315
DistributeOctTree,146691,146711
DistributeOctTree,153533,153573
computeOrientation,544881,544911
computeOrientation,657306,657346
computeOrientation,453046,453086
computeOrientation,374105,374145
computeOrientation,506417,506448
computeOrientation,307457,307478
computeOrientation,383323,383343
computeOrientation,254757,254787
computeOrientation,321705,321735
computeOrientation,213378,213398
computeOrientation,178591,178622
computeOrientation,272241,272250
computeOrientation,150177,150197
ComputeKeyPointsOctTree,12167803,12167823
computeOrientation,223367,223397
GaussianBlur,155778,155827
computeOrientation,209210,209230
computeOrientation,159445,159485
ComputeKeyPointsOctTree,12895243,12895273
GaussianBlur,146761,146811
computeDescriptors,5532071,5532101
GaussianBlur,94470,94500
computeDescriptors,5506783,5506813
GaussianBlur,87598,87628
computeDescriptors,4568360,4568400
GaussianBlur,71186,71216
computeDescriptors,4557108,4557148
GaussianBlur,74793,74833
computeDescriptors,3781788,3781818
GaussianBlur,61136,61167
computeDescriptors,3793320,3793360
GaussianBlur,60144,60175
computeDescriptors,3139840,3139870
GaussianBlur,58071,58101
computeDescriptors,3127837,3127877
GaussianBlur,54384,54414
computeDescriptors,2607883,2607923
GaussianBlur,57059,57089
computeDescriptors,2619526,2619556
GaussianBlur,53582,53612
computeDescriptors,2161039,2161080
GaussianBlur,46138,46178
computeDescriptors,2179294,2179324
GaussianBlur,47040,47070
computeDescriptors,1788397,1788427
GaussianBlur,44225,44245
computeDescriptors,1787996,1788027
GaussianBlur,42271,42311
computeDescriptors,1526577,1526607
computeDescriptors,1522540,1522580
Track,510287376,510287657
GrabImageStereo,557096728,557096758
ComputePyramid,635795,635905
ComputePyramid,893788,894098
DistributeOctTree,1359718,1359768
DistributeOctTree,1680812,1680862
DistributeOctTree,909699,909719
DistributeOctTree,884290,884340
DistributeOctTree,656795,656926
DistributeOctTree,630184,630225
DistributeOctTree,476341,476380
DistributeOctTree,466010,466051
DistributeOctTree,379515,379555
DistributeOctTree,254606,254647
DistributeOctTree,365989,366019
DistributeOctTree,186477,186517
DistributeOctTree,248054,248084
DistributeOctTree,156008,156048
DistributeOctTree,185915,185945
computeOrientation,562075,562104
DistributeOctTree,147873,147913
computeOrientation,500716,500757
computeOrientation,542307,542336
computeOrientation,401287,401317
computeOrientation,446022,446052
computeOrientation,335832,335862
computeOrientation,375648,375658
computeOrientation,264325,264345
computeOrientation,308048,308059
computeOrientation,223818,223847
computeOrientation,182289,182299
computeOrientation,254216,254226
computeOrientation,150959,150979
ComputeKeyPointsOctTree,12614377,12614407
computeOrientation,217245,217255
GaussianBlur,150687,150728
computeOrientation,199281,199311
computeOrientation,148204,148234
ComputeKeyPointsOctTree,12762520,12762530
GaussianBlur,152521,152571
computeDescriptors,5578320,5578360
GaussianBlur,88860,88890
computeDescriptors,5521802,5521832
GaussianBlur,87277,87307
computeDescriptors,4604420,4604460
GaussianBlur,79842,79872
computeDescriptors,4637412,4637462
GaussianBlur,74934,74964
computeDescriptors,3921533,3921694
GaussianBlur,73280,73330
computeDescriptors,3795322,3795352
GaussianBlur,62780,62820
computeDescriptors,3207689,3207760
GaussianBlur,54784,54835
computeDescriptors,3148246,3148276
GaussianBlur,54184,54234
computeDescriptors,2610458,2610489
GaussianBlur,55386,55426
computeDescriptors,2585681,2585721
GaussianBlur,49414,49444
computeDescriptors,2197380,2197420
GaussianBlur,50486,50516
computeDescriptors,2166040,2166070
GaussianBlur,46349,46379
computeDescriptors,1810541,1810581
GaussianBlur,43743,43773
computeDescriptors,1795341,1795381
GaussianBlur,48954,48984
computeDescriptors,1521347,1521387
computeDescriptors,1506829,1506859
Track,711088068,711088348
GrabImageStereo,758511583,758511613
ComputePyramid,599526,599656
ComputePyramid,852008,852099
DistributeOctTree,1350942,1351032
DistributeOctTree,1354519,1354579
DistributeOctTree,888377,888498
DistributeOctTree,877487,877527
DistributeOctTree,639011,639112
DistributeOctTree,634362,634402
DistributeOctTree,479286,479326
DistributeOctTree,480088,480118
DistributeOctTree,371510,371550
DistributeOctTree,374406,374446
DistributeOctTree,246962,246992
DistributeOctTree,249747,249787
DistributeOctTree,186807,186837
DistributeOctTree,184794,184823
DistributeOctTree,148984,149014
