function_name,duration,high_res_duration
ComputePyramid,965985,968129
ComputePyramid,1225242,1225542
DistributeOctTree,1621827,1621927
DistributeOctTree,1410299,1410470
DistributeOctTree,837594,837644
DistributeOctTree,915409,915440
DistributeOctTree,590048,590068
DistributeOctTree,652716,652746
DistributeOctTree,433895,433915
DistributeOctTree,475373,475393
DistributeOctTree,348996,349016
DistributeOctTree,369915,369925
DistributeOctTree,239290,239320
DistributeOctTree,182513,182553
DistributeOctTree,248307,248337
DistributeOctTree,146165,146205
DistributeOctTree,188744,188774
DistributeOctTree,148479,148499
computeOrientation,690388,690458
computeOrientation,504427,504568
computeOrientation,389281,389371
computeOrientation,375215,375315
computeOrientation,320142,320232
computeOrientation,360016,360157
computeOrientation,345018,345088
computeOrientation,391936,392027
computeOrientation,334849,334909
computeOrientation,361869,361960
computeOrientation,363403,363473
computeOrientation,341742,341812
computeOrientation,406123,406203
computeOrientation,377860,377930
ComputeKeyPointsOctTree,12939239,12939259
computeOrientation,377069,377159
computeOrientation,256372,256472
ComputeKeyPointsOctTree,13025040,13025060
GaussianBlur,313048,313139
GaussianBlur,240001,240081
computeDescriptors,5520151,5520191
computeDescriptors,5414322,5414372
GaussianBlur,99988,100048
GaussianBlur,111600,111660
computeDescriptors,4539829,4539859
computeDescriptors,4489264,4489284
GaussianBlur,83267,83357
GaussianBlur,54372,54412
computeDescriptors,3809938,3809968
computeDescriptors,3768441,3768461
GaussianBlur,71965,72036
GaussianBlur,145443,145503
computeDescriptors,3123839,3123849
computeDescriptors,3074857,3074887
GaussianBlur,56847,56917
GaussianBlur,30978,30998
computeDescriptors,2612107,2612126
computeDescriptors,2636302,2636322
GaussianBlur,49673,49723
GaussianBlur,34565,34595
computeDescriptors,2183181,2183211
computeDescriptors,2191287,2191316
GaussianBlur,52429,52459
GaussianBlur,33002,33032
computeDescriptors,1846158,1846279
computeDescriptors,1811183,1811253
GaussianBlur,55133,55183
GaussianBlur,65583,65613
computeDescriptors,1534052,1534173
computeDescriptors,1506079,1506300
Track,25835007,25835387
GrabImageStereo,80749834,80749954
ComputePyramid,1102511,1103032
ComputePyramid,1360085,1360196
DistributeOctTree,1427422,1427522
DistributeOctTree,1449684,1449774
DistributeOctTree,878942,878992
DistributeOctTree,1014015,1014095
DistributeOctTree,669968,670089
DistributeOctTree,639842,639902
DistributeOctTree,532581,532701
DistributeOctTree,505720,505820
DistributeOctTree,438965,439065
DistributeOctTree,371027,371087
DistributeOctTree,368943,369043
DistributeOctTree,251362,251392
DistributeOctTree,279305,279374
DistributeOctTree,189236,189266
DistributeOctTree,176943,177013
DistributeOctTree,155372,155402
computeOrientation,582775,582874
computeOrientation,456959,457049
computeOrientation,355467,355547
computeOrientation,392918,392988
computeOrientation,339448,339528
computeOrientation,343475,343555
computeOrientation,334548,334608
computeOrientation,416022,416082
computeOrientation,322236,322356
computeOrientation,340840,340920
computeOrientation,256852,256942
computeOrientation,388920,389000
computeOrientation,385324,385434
computeOrientation,343976,344046
computeOrientation,337945,338035
ComputeKeyPointsOctTree,13379937,13379967
computeOrientation,283052,283122
ComputeKeyPointsOctTree,13887721,13887751
GaussianBlur,274676,274756
GaussianBlur,260620,260700
computeDescriptors,5576798,5576958
GaussianBlur,96010,96091
computeDescriptors,5728523,5728753
GaussianBlur,110798,110869
computeDescriptors,4575295,4575365
GaussianBlur,78177,78247
computeDescriptors,4717543,4717693
GaussianBlur,113793,113834
computeDescriptors,3844493,3844543
GaussianBlur,67928,67988
computeDescriptors,3879959,3880070
GaussianBlur,68699,68739
computeDescriptors,3140721,3140811
GaussianBlur,52078,52138
computeDescriptors,3186547,3186657
GaussianBlur,56717,56777
computeDescriptors,2630602,2630622
GaussianBlur,51366,51416
computeDescriptors,2691816,2691956
GaussianBlur,60724,60765
computeDescriptors,2188711,2188741
GaussianBlur,52609,52669
computeDescriptors,2231653,2231753
GaussianBlur,51567,51587
computeDescriptors,1789252,1789282
GaussianBlur,38973,39013
computeDescriptors,1829086,1829107
GaussianBlur,45275,45295
computeDescriptors,1502684,1502704
computeDescriptors,1537979,1538009
Track,887155642,887155732
GrabImageStereo,938271262,938271353
ComputePyramid,1004848,1004998
ComputePyramid,1242485,1242615
DistributeOctTree,1378089,1378149
DistributeOctTree,1443392,1443492
DistributeOctTree,957229,957349
DistributeOctTree,1065121,1065261
DistributeOctTree,630264,630294
DistributeOctTree,1048650,1048759
DistributeOctTree,485241,485261
DistributeOctTree,373041,373071
DistributeOctTree,508596,508675
DistributeOctTree,255249,255279
DistributeOctTree,190458,190478
DistributeOctTree,152306,152336
DistributeOctTree,380775,380825
computeOrientation,493197,493276
DistributeOctTree,272472,272532
computeOrientation,279736,279825
computeOrientation,220454,220524
DistributeOctTree,195958,196018
computeOrientation,218661,218730
DistributeOctTree,157506,157556
computeOrientation,402135,402195
computeOrientation,541888,541969
computeOrientation,348615,348695
computeOrientation,331914,331964
computeOrientation,515158,515258
computeOrientation,318969,319039
ComputeKeyPointsOctTree,12661277,12661287
computeOrientation,324650,324720
GaussianBlur,231325,231405
computeOrientation,303400,303470
computeOrientation,238158,238228
computeOrientation,235061,235161
computeOrientation,236595,236675
computeOrientation,269506,269587
ComputeKeyPointsOctTree,13844550,13844580
GaussianBlur,208522,208612
computeDescriptors,5557983,5558012
GaussianBlur,88526,88596
computeDescriptors,5550418,5550468
GaussianBlur,89407,89488
computeDescriptors,4604159,4604179
GaussianBlur,68168,68228
computeDescriptors,4616963,4616994
GaussianBlur,76714,76784
computeDescriptors,3794109,3794129
GaussianBlur,60905,60985
computeDescriptors,3827291,3827331
GaussianBlur,62998,63048
computeDescriptors,3141361,3141391
GaussianBlur,55575,55655
computeDescriptors,3194431,3194431
GaussianBlur,55785,55835
computeDescriptors,2586609,2586649
GaussianBlur,55374,55404
computeDescriptors,2626074,2626094
GaussianBlur,54382,54412
computeDescriptors,2168193,2168223
GaussianBlur,48471,48531
computeDescriptors,2179655,2179685
GaussianBlur,47550,47580
computeDescriptors,1803759,1803779
GaussianBlur,37501,37541
computeDescriptors,1500870,1500890
computeDescriptors,1812045,1812095
GaussianBlur,46327,46347
computeDescriptors,1530195,1530215
Track,856143929,856144029
GrabImageStereo,906568923,906568953
ComputePyramid,750240,750340
ComputePyramid,776780,776890
DistributeOctTree,1288441,1288501
DistributeOctTree,1356287,1356338
DistributeOctTree,874763,874793
DistributeOctTree,901494,901514
DistributeOctTree,636335,636356
DistributeOctTree,618161,618181
DistributeOctTree,466396,466416
DistributeOctTree,479591,479611
DistributeOctTree,356570,356590
DistributeOctTree,374203,374223
DistributeOctTree,250761,250792
DistributeOctTree,254368,254378
DistributeOctTree,184717,184747
DistributeOctTree,187453,187473
DistributeOctTree,144050,144070
DistributeOctTree,152997,153027
computeOrientation,484951,485061
computeOrientation,375465,375566
computeOrientation,318879,318969
computeOrientation,288351,288421
computeOrientation,283433,283513
computeOrientation,257393,257484
computeOrientation,285256,285316
computeOrientation,269987,270058
computeOrientation,270919,270989
computeOrientation,264677,264737
computeOrientation,250490,250560
computeOrientation,262443,262513
computeOrientation,266681,266762
computeOrientation,254698,254779
computeOrientation,256622,256692
ComputeKeyPointsOctTree,11841666,11841686
computeOrientation,226676,226766
ComputeKeyPointsOctTree,11920975,11920995
GaussianBlur,163037,163107
GaussianBlur,441940,441991
computeDescriptors,5515913,5515943
computeDescriptors,5344290,5344331
GaussianBlur,85941,86001
GaussianBlur,56115,56206
computeDescriptors,4530562,4530583
computeDescriptors,4569174,4569204
GaussianBlur,72266,72336
GaussianBlur,85621,85701
computeDescriptors,3796201,3796221
GaussianBlur,64912,64952
computeDescriptors,3775632,3775662
GaussianBlur,58380,58450
computeDescriptors,3133727,3133757
GaussianBlur,57818,57889
computeDescriptors,3138817,3138857
GaussianBlur,54001,54071
computeDescriptors,2595387,2595416
GaussianBlur,49623,49683
computeDescriptors,2605355,2605375
GaussianBlur,48882,48921
computeDescriptors,2170477,2170498
GaussianBlur,47800,47820
computeDescriptors,2148626,2148657
GaussianBlur,44834,44894
computeDescriptors,1784151,1784171
GaussianBlur,44273,44313
computeDescriptors,1801283,1801304
GaussianBlur,42921,42961
computeDescriptors,1517721,1517741
computeDescriptors,1521900,1521930
Track,724253839,724254029
GrabImageStereo,771357191,771357291
ComputePyramid,681350,681450
ComputePyramid,721255,721365
DistributeOctTree,1630965,1631015
DistributeOctTree,1586010,1586050
DistributeOctTree,890984,891044
DistributeOctTree,901774,901904
DistributeOctTree,653308,653358
DistributeOctTree,619614,619634
DistributeOctTree,472648,472668
