function_name,duration
foo,80
bar,20
foo,30
bar,30
foo,30
bar,20
foo,30
bar,20
foo,50
bar,20
foo,60
bar,20
foo,50
bar,20
foo,80
bar,20
foo,110
bar,30
foo,161
bar,20
foo,250
bar,20
foo,401
bar,20
foo,621
bar,30
foo,1001
bar,30
foo,1623
bar,20
foo,2605
bar,30
foo,4238
bar,20
foo,6833
bar,20
foo,11051
bar,20
foo,17883
bar,20
foo,28944
bar,30
foo,46837
bar,30
foo,75801
bar,40
foo,122619
bar,30
foo,203579
bar,51
foo,320938
bar,20
foo,519277
bar,20
foo,840205
bar,30
foo,1359452
bar,30
foo,2202371
bar,40
foo,3573695
bar,50
foo,5801162
bar,50
foo,9429148
bar,30
foo,15261558
bar,30
foo,25238327
bar,30
foo,40154903
bar,50
bar,50
foo,64907334
foo,104574380
bar,130
foo,172925317
bar,50
bar,151
